Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-23,HDFCBANK,EQ,2297.25,2294.5,2294.5,2242.05,2265.5,2263.5,2261.89,6950716,1.57217E+15,237644,4401966,0.6333
2019-07-24,ICICIBANK,EQ,411.95,411.85,411.85,401.7,407.9,408.5,406.86,16505930,6.71565E+14,172030,8841593,0.5357
2019-07-24,AXISBANK,EQ,728,728,732.8,709.35,710.15,712.3,716.34,6618279,4.74097E+14,163314,3144683,0.4752
2019-07-24,HDFCBANK,EQ,2263.5,2256.75,2293,2251,2284,2280.9,2276.22,4340935,9.8809E+14,221845,2590720,0.5968
2019-07-25,ICICIBANK,EQ,408.5,409.2,413.85,405.3,410.25,409,409,16852479,6.89267E+14,170631,8194933,0.4863
2019-07-25,AXISBANK,EQ,712.3,711.2,726.25,706.35,724.6,723.15,719.09,9972204,7.17088E+14,174889,4421114,0.4433
2019-07-25,HDFCBANK,EQ,2280.9,2285,2315.45,2280.25,2291,2286.05,2297.27,4865502,1.11774E+15,187329,2945122,0.6053
2019-07-26,ICICIBANK,EQ,409,410.25,419.4,408.55,419.15,415.75,413.72,17493739,7.23759E+14,170388,10243937,0.5856
2019-07-26,AXISBANK,EQ,723.15,723.55,732,719.2,730.55,729.85,727.59,5450010,3.96537E+14,116857,1847138,0.3389
2019-07-26,HDFCBANK,EQ,2286.05,2278.2,2293.65,2272.85,2276,2277.3,2284.17,3207457,7.32639E+14,154124,2019112,0.6295
2019-07-29,ICICIBANK,EQ,415.75,433,435.35,425.3,427.8,429.35,430.36,46754670,2.01213E+15,440893,20179890,0.4316
2019-07-29,AXISBANK,EQ,729.85,736.2,740,710,722,720.25,719.34,10314136,7.4194E+14,162574,4488194,0.4351
2019-07-29,HDFCBANK,EQ,2277.3,2273.55,2273.55,2223.05,2249.3,2244.3,2246.77,2494123,5.60372E+14,128559,1475389,0.5915
2019-07-30,ICICIBANK,EQ,429.35,433,438.7,422.75,427.25,425.35,432.02,23617273,1.02031E+15,233146,8474299,0.3588
